speaker_id,utterance_id,transcript,natural_audio_path,synthetic_audio_path,natural_embedding_path,synthetic_embedding_path,dataset_split
p228,p228_001,Please call Stella.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_001_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_001_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_001.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_001.npy,train
p228,p228_002,Ask her to bring these things with her from the store.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_002_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_002_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_002.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_002.npy,train
p228,p228_003,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_003_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_003_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_003.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_003.npy,train
p228,p228_004,We also need a small plastic snake and a big toy frog for the kids.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_004_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_004_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_004.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_004.npy,train
p228,p228_005,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_005_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_005_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_005.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_005.npy,train
p228,p228_006,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_006_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_006_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_006.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_006.npy,train
p228,p228_007,The rainbow is a division of white light into many beautiful colors.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_007_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_007_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_007.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_007.npy,train
p228,p228_008,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_008_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_008_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_008.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_008.npy,train
p228,p228_009,"There is , according to legend, a boiling pot of gold at one end.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_009_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_009_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_009.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_009.npy,train
p228,p228_010,"People look, but no one ever finds it.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_010_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_010_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_010.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_010.npy,train
p228,p228_011,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_011_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_011_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_011.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_011.npy,train
p228,p228_012,Throughout the centuries people have explained the rainbow in various ways.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_012_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_012_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_012.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_012.npy,train
p228,p228_013,Some have accepted it as a miracle without physical explanation.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_013_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_013_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_013.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_013.npy,train
p228,p228_014,To the Hebrews it was a token that there would be no more universal floods.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_014_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_014_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_014.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_014.npy,train
p228,p228_015,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_015_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_015_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_015.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_015.npy,train
